{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 10, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_output_size': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 14, 'future_day': 16, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
               valid loss 0.010610  rmse 0.0951  df(ActivateDay.Avg) 0.0041  MAE 0.0598
     train: epoch 37 loss 0.033191  rmse 0.0972  df(ActivateDay.Avg) 0.0135  MAE 0.0607
               valid loss 0.010615  rmse 0.0952  df(ActivateDay.Avg) 0.0342  MAE 0.0577
     train: epoch 38 loss 0.033099  rmse 0.0970  df(ActivateDay.Avg) 0.0071  MAE 0.0604
               valid loss 0.010609  rmse 0.0951  df(ActivateDay.Avg) 0.0365  MAE 0.0581
     train: epoch 39 loss 0.033082  rmse 0.0970  df(ActivateDay.Avg) 0.0114  MAE 0.0604
               valid loss 0.010588  rmse 0.0951  df(ActivateDay.Avg) 0.0057  MAE 0.0598
     train: epoch 40 loss 0.032912  rmse 0.0968  df(ActivateDay.Avg) 0.0142  MAE 0.0605
               valid loss 0.010717  rmse 0.0956  df(ActivateDay.Avg) 0.1316  MAE 0.0632
     train: epoch 41 loss 0.033104  rmse 0.0970  df(ActivateDay.Avg) 0.0130  MAE 0.0603
               valid loss 0.010674  rmse 0.0954  df(ActivateDay.Avg) 0.0630  MAE 0.0576
     train: epoch 42 loss 0.032899  rmse 0.0967  df(ActivateDay.Avg) 0.0125  MAE 0.0603
               valid loss 0.010723  rmse 0.0957  df(ActivateDay.Avg) 0.0764  MAE 0.0575
     train: epoch 43 loss 0.033050  rmse 0.0970  df(ActivateDay.Avg) 0.0099  MAE 0.0603
               valid loss 0.010638  rmse 0.0953  df(ActivateDay.Avg) 0.0936  MAE 0.0551
     train: epoch 44 loss 0.032826  rmse 0.0966  df(ActivateDay.Avg) 0.0048  MAE 0.0599
               valid loss 0.010567  rmse 0.0950  df(ActivateDay.Avg) 0.0689  MAE 0.0612
                test loss 0.010481  rmse 0.0946  df(ActivateDay.Avg) 0.0903  MAE 0.0613
     train: epoch 45 loss 0.032908  rmse 0.0967  df(ActivateDay.Avg) 0.0116  MAE 0.0602
               valid loss 0.010620  rmse 0.0952  df(ActivateDay.Avg) 0.0431  MAE 0.0580
     train: epoch 46 loss 0.032992  rmse 0.0969  df(ActivateDay.Avg) 0.0136  MAE 0.0603
               valid loss 0.010654  rmse 0.0954  df(ActivateDay.Avg) 0.1163  MAE 0.0548
     train: epoch 47 loss 0.032866  rmse 0.0967  df(ActivateDay.Avg) 0.0056  MAE 0.0600
               valid loss 0.010589  rmse 0.0951  df(ActivateDay.Avg) 0.0143  MAE 0.0586
     train: epoch 48 loss 0.032791  rmse 0.0966  df(ActivateDay.Avg) 0.0048  MAE 0.0598
               valid loss 0.010635  rmse 0.0953  df(ActivateDay.Avg) 0.0846  MAE 0.0612
     train: epoch 49 loss 0.032821  rmse 0.0966  df(ActivateDay.Avg) 0.0125  MAE 0.0601
               valid loss 0.010552  rmse 0.0949  df(ActivateDay.Avg) 0.0832  MAE 0.0613
                test loss 0.010511  rmse 0.0947  df(ActivateDay.Avg) 0.1061  MAE 0.0610
best_epoch: 50.0000
  best_valid_rmse 0.0949  best_valid_df 0.0832  best_valid_MAE 0.0613 
  best_rmse 0.0947  best_df 0.1061 best_MAE 0.0610
