{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
               valid loss 0.017747  rmse 0.1231  df(ActivateDay.Avg) 0.1682  MAE 0.0836
     train: epoch 41 loss 0.052153  rmse 0.1218  df(ActivateDay.Avg) 0.0296  MAE 0.0844
               valid loss 0.017568  rmse 0.1224  df(ActivateDay.Avg) 0.1318  MAE 0.0831
                test loss 0.018179  rmse 0.1246  df(ActivateDay.Avg) 0.0765  MAE 0.0840
     train: epoch 42 loss 0.051974  rmse 0.1216  df(ActivateDay.Avg) 0.0337  MAE 0.0839
               valid loss 0.018277  rmse 0.1249  df(ActivateDay.Avg) 0.3036  MAE 0.0804
     train: epoch 43 loss 0.051832  rmse 0.1214  df(ActivateDay.Avg) 0.0390  MAE 0.0838
               valid loss 0.017534  rmse 0.1223  df(ActivateDay.Avg) 0.0602  MAE 0.0868
                test loss 0.018112  rmse 0.1243  df(ActivateDay.Avg) 0.0072  MAE 0.0875
     train: epoch 44 loss 0.051469  rmse 0.1210  df(ActivateDay.Avg) 0.0337  MAE 0.0839
               valid loss 0.017801  rmse 0.1232  df(ActivateDay.Avg) 0.2190  MAE 0.0817
     train: epoch 45 loss 0.050955  rmse 0.1204  df(ActivateDay.Avg) 0.0323  MAE 0.0834
               valid loss 0.017407  rmse 0.1219  df(ActivateDay.Avg) 0.0468  MAE 0.0855
                test loss 0.018207  rmse 0.1246  df(ActivateDay.Avg) 0.0081  MAE 0.0864
     train: epoch 46 loss 0.050574  rmse 0.1199  df(ActivateDay.Avg) 0.0387  MAE 0.0827
               valid loss 0.017493  rmse 0.1222  df(ActivateDay.Avg) 0.0423  MAE 0.0864
     train: epoch 47 loss 0.050072  rmse 0.1193  df(ActivateDay.Avg) 0.0416  MAE 0.0823
               valid loss 0.018292  rmse 0.1249  df(ActivateDay.Avg) 0.3100  MAE 0.0780
     train: epoch 48 loss 0.049291  rmse 0.1184  df(ActivateDay.Avg) 0.0344  MAE 0.0823
               valid loss 0.017855  rmse 0.1234  df(ActivateDay.Avg) 0.1000  MAE 0.0910
     train: epoch 49 loss 0.049222  rmse 0.1183  df(ActivateDay.Avg) 0.0416  MAE 0.0819
               valid loss 0.017692  rmse 0.1229  df(ActivateDay.Avg) 0.0387  MAE 0.0885
best_epoch: 46.0000
  best_valid_rmse 0.1219  best_valid_df 0.0468  best_valid_MAE 0.0855 
  best_rmse 0.1246  best_df 0.0081 best_MAE 0.0864
